net,length_um
_27151_,215.89
_35184_,215.88
_35908_,215.77
_17599_,215.675
_16658_,215.63
_13250_,215.35
_27113_,214.86
_22849_,214.46
net314,214.06
_06069_,213.9
_19016_,213.82
_21425_,213.53
_10799_,212.84
_10867_,212.74
_35738_,212.58
matrix_top.buffer_gen\[0\].buffer.reg_out\[24\],212.52
_36165_,212.32
_36032_,212.29
_04096_,212.1
_35474_,211.88
_12780_,211.72
_36127_,211.68
_35135_,211.56
_06977_,211.52
_05103_,211.335
_35347_,211.32
_20219_,211.16
_33378_,211.03
_36060_,210.81
_18997_,210.76
_35958_,210.45
_36385_,210.07
matrix_top.buffer_gen\[0\].buffer.reg_out\[26\],209.96
_35940_,209.9
_08957_,209.81
_24785_,209.745
matrix_top.buffer_gen\[3\].buffer.reg_out\[3\],209.62
_34975_,209.04
_05588_,208.96
_35596_,208.89
_21422_,208.66
_30995_,208.49
_22858_,208.405
_05119_,208.365
_35539_,207.97
_22841_,207.62
_19000_,207.52
_34872_,207.3
_04093_,207.28
_30513_,207.27
_20480_,207.26
_35832_,207.2
_36239_,207.05
_35613_,206.97
_12791_,206.63
_35755_,206.51
_35052_,206.48
matrix_top.buffer_gen\[3\].buffer.reg_out\[2\],206.38
_23828_,206.26
_35491_,205.76
_28144_,205.72
net208,205.72
_35380_,205.5
_07995_,205.26
_19998_,205.19
_35417_,205.04
_04090_,204.86
_36460_,204.66
_31450_,204.5
_23814_,204.475
_11357_,204.47
matrix_top.results\[202\],204.3
_35812_,204.16
_35467_,204.08
net258,204.08
_36315_,204
_20477_,203.985
_05575_,203.92
_35666_,203.91
_04004_,203.86
net423,203.82
_31931_,203.63
_35506_,203.58
_26214_,203.35
_09446_,203.32
_13263_,203.305
net537,203.24
_07539_,203.2
_30039_,203.1
_25237_,203.08
_15136_,203
_05075_,202.56
_35292_,202.5
matrix_top.buffer_gen\[3\].buffer.reg_out\[4\],202.44
_36369_,202.14
_23332_,202.105
_08004_,201.56
_06080_,201.55
_22844_,201.44
_35898_,201.33
_36015_,201.29
_09855_,201.14
_05593_,201.12
_30992_,200.8
_35914_,200.715
net609,200.63
_17127_,200.53
_13266_,200.4
net190,200.4
_34240_,200.22
_30488_,200.21
_35017_,200.2
_35059_,200.04
_34882_,200.01
_21429_,199.945
_11368_,199.89
_04637_,199.79
_22795_,199.6
_17542_,199.565
_15169_,199.13
_11349_,198.94
_15673_,198.94
_35181_,198.74
matrix_top.buffer_gen\[1\].buffer.reg_out\[7\],198.74
net581,198.7
_35516_,198.68
_31928_,198.61
_35828_,198.52
matrix_top.buffer_gen\[0\].buffer.reg_out\[25\],198.48
_35971_,198.38
_06557_,198.35
_22869_,198.335
_31950_,198.2
net623,198.035
_36300_,198.01
_05992_,197.86
_35098_,197.86
_15157_,197.78
_35030_,197.68
_35241_,197.6
_34744_,197.44
_17613_,197.36
matrix_top.buffer_gen\[1\].buffer.reg_out\[0\],197.32
net200,197.32
_09913_,197.28
_10892_,197.235
_09449_,197.205
_15142_,197.17
_14218_,197.125
_13253_,197.105
_04145_,196.91
matrix_top.results\[203\],196.82
_35881_,196.6
_32889_,196.485
_05581_,195.99
_07536_,195.91
_36533_,195.56
_35171_,194.96
_30999_,194.72
_35174_,194.72
_36725_,194.68
_36042_,194.61
_35534_,194.56
_21378_,194.49
_31940_,194.46
_03938_,194.42
_35373_,194.1
_36082_,194.1
_04630_,193.98
_36597_,193.98
_33375_,193.92
matrix_top.buffer_gen\[3\].buffer.reg_out\[7\],193.92
_07532_,193.79
_13746_,193.56
_36009_,193.36
_35247_,193.14
_13759_,193.12
_13750_,193.11
_06072_,192.96
_17135_,192.915
_15149_,192.815
_05071_,192.63
_34957_,192.58
_31934_,192.34
_19500_,192.26
_23323_,192.2
_35394_,192.14
_14229_,192.115
_15648_,192.05
_35308_,191.81
_07546_,191.625
_25692_,191.61
_35096_,191.6
_35794_,191.59
_03806_,191.1
_09925_,190.96
_05115_,190.85
_16641_,190.685
_14221_,190.66
_31447_,190.535
_35245_,190.53
_29036_,190.32
_31924_,190.22
_13259_,189.89
_36148_,189.87
_08967_,189.82
_35868_,189.81
matrix_top.buffer_gen\[3\].buffer.reg_out\[14\],189.46
_07543_,189.4
_25247_,189.3
net556,189.28
_36179_,189.24
_27626_,189.22
_17131_,189.04
_19003_,188.92
matrix_top.buffer_gen\[1\].buffer.reg_out\[6\],188.83
matrix_top.buffer_gen\[3\].buffer.reg_out\[5\],188.8
_35547_,188.74
_35796_,188.74
_19009_,188.64
net275,188.62
_16157_,188.56
net533,188.515
_04061_,188.46
_35580_,188.46
_36440_,188.44
net496,188.4
_16647_,188.27
matrix_top.results\[140\],188.15
_36110_,188.13
net474,188
matrix_top.buffer_gen\[3\].buffer.reg_out\[6\],187.94
_35928_,187.86
_32433_,187.82
_35302_,187.82
_07522_,187.58
matrix_top.results\[1408\],187.57
_23832_,187.48
_23824_,187.44
_35131_,187.42
net539,187.32
_11832_,187.28
